title,url
Rider airlifted to hospital after rolling down ravine near Sand Hollow State Park,https://news.google.com/read/CBMiigNBVV95cUxPdW1CWjJxZTFyMVFtX1hkMG9ISndPRDhBYXI5NFY4bi1KNlJkMEhRSjVaWlFJNXlGeVQwZVpFRGdRbUpqUmN5Q1RWNm9WWWVqVE92WHAwX1VjWHczc2V6ZXFBMDdaN20wVldDVkN0bjUxU3preUx5b3I5VkpnWnE5VWRpaVRWZTNxWXhNLUtLR2k2NlJDdlJvcjl0TE5ZUU4wM0lIbHB3RGRKUVdGbzdhWlVQTFBTWEJQR00zNDhYaEQyOC1iMWh1dHBtdGhmSktKYmoya3hlN3JhRlVPYklhaVlqaGR2UTFZWWxCT3V4cUV4SThMbFpQQmVxUGotc085RFhnTjZBTnRsNjdfaVJRU0ZBNXF6b09IQkw4allicjhNYjkzMWl3SzdGblctZ2U5dk1KWVNYUF9tSHp2bzltQlNlbkFZWFpfR2pmNmY4NTNxN0NzUjJJdVUyX0pKU1NXcTJBQlJub3VMSVl5RU9oN09EdEJXZGVTa1dKbEx4YkZzUWt6R214WVdR?hl=en-US&gl=US&ceid=US%3Aen
U.K. government defends the BBC and Trump threatens to sue,https://news.google.com/read/CBMi1AJBVV95cUxObW1vQkF3bVRKWG5sa25iSVZUNDdlX0F1UUlkV2tZcFJMMFZJaEM0MFJ0dUxvQ0FZMlE1Y1R5NG9peERqZmhBRHRUNzY5RVcxS1hkTEJUUE1XRnpxa1k0TnBvMFFrQWhmdmRUYnBGU2RrQ2FiQ3FZdC1lUVFkUkZ3UzFoV1hlT1FuX01nNUJITGhyeTVKc0phbTNSYUwtMDhaM2ZaZUZ0dkdiTGkzYmhlQXF2U3YycWwzWXJGRUJYS0EwQ012ZHlDOWJVMWhhQ0xuX3IwSE8wQ3p2WnNHTy1GNUNIdVcwQ19nOUNfcjVRcW8xN0hYQU8wcFpOaDFpeWJ0MjQzZ0kyNFNRWnpMcUxZSGJScF9xYXh2MDFkTlo1anJZWjVBVWt2Z3BoNENKUnFkMXVhcEk3ZXdUWkg3NG9iN2JpNG1GQUdnRVBPS1lIdDI4N1pL?hl=en-US&gl=US&ceid=US%3Aen
Daily Jigsaw: India Fest,https://news.google.com/read/CBMingJBVV95cUxNUGlpQjU5ZUZIZy0wNl8yRWZ3QXBjVnkwQ01va3pQb2o2ZXBQS0lGZnZHYU1zVlhxRHZPX2l4RHNRLWtWR0Fxb3ZNN3dDQ2JWTm04QlJqODBPb1c2RWVTUnRYa0l1S096ZXQ3dmFBdDg5amNRUTBQUmJjMEt2NnB2UHVmOUZwM0dYc2NYSVU4b1RJT2tqMFhjdmhpQ2dWS0tvanVoTnpnS0lBMmdHWV9hT25sNEZXMk1DUkpPQjJzcU5veXVUSkY0eUNCblJBcThnMHdiM2Q5Rm1XVldFbjdjVUFsS3E2Ykt1aXlmdUZXNVRVWjJzMTR0Qy1xWFg0QWk5U25kSFhWdTlUM04zTzh1amUzbmlMQnk2d3lUQm5R?hl=en-US&gl=US&ceid=US%3Aen
Daily WordRow: Nov. 11,https://news.google.com/read/CBMimgJBVV95cUxOcWdkXy05QU5KSVpCTGlIdDVkb1ZTM0lmUURsN1lJS3c2bGhmNHN2ZXRIcTYyT2VhU3VBVm5NU2JWaWxSSk4yZV8wbm5YbmZTM3VNWnFXMW9rOVZ6V1B6QVNXc0VPSG9sdFd4MDF1MzA5SDJzQjBQQ0FIaGNTZThrbHpPSEMzSlVQNWdPYVRMNFlRSDFHODlFVHItZzlJV1lEYlUtU2RtVzhtV2tqX0xUWklqdXN2ejhfZllrZXdUQzdkVXJJYkxEWmthQTRYOFBHbHhtdG95ck9TUHlJdC1IU2MyVjVlR1VBWkxzRG1TZXhnb2xfUDhkR2c1bUJraVJ5YV9namNMZzd0T3l0Q3Vpc2RKM2R5cTNqY1E?hl=en-US&gl=US&ceid=US%3Aen
Opinion | California's 'Colorblind' laws fail Black students,https://news.google.com/read/CBMilwJBVV95cUxQTEIwZGZFX3RLdzhPcWNXQTJrdzZ3X2tzMUJrZHRibndsbGhvY0VYakpFTGFlZFBNbEQ4eldFUzQyTmRkdVRtYzBHODNJeGZnQXo1cGFLV2FlYWpGMDliNjFZZEk0NjJHVXRDcEdXREpWdDBUMjJJSDNsemsxd3RRS0dVejZBLTNpUHlyekFDOFduVXBTenlsYy0zZmhfT2Q3b0hZeWNKUHRiaDVXWkd5R3ljWE9MVWw2cW51Q2plb1JYdkNLN2g4T0wyVTZscTREX0tsbW1KLVB6RTFTb2NGdGRGSGJQMFRGVHNHb0lmWklnaUE2N2pyUnFJR0lVNWgtdFNOY1k5bnd3RmdjckpyWC0yVC1qZlU?hl=en-US&gl=US&ceid=US%3Aen
"UT hosts veterans appreciation breakfast, resource fair",https://news.google.com/read/CBMihgNBVV95cUxPMXAtMFVSUHNnYUNVeTRmNTFDTHI2MlduWUt1c0lrYUlmQXZGQjRkdnF1bkJsWWhoS3NkTXNtTU01SmF3cXhrVVRVb0FIRzhVWkZOeElQcXBLOG9ZUGpzOUJvREpjQW1YUW91emt6TEFVNndkMlFJZEtocF8zUk4xbGpjSnlVR05MLTFZMTUta2RGdU1ycFRhMWRaRHpWaXBuN0hhTXljaE9vYURrdFdfcmJ6Wks1MEt1VEZqSFJVbi1sNHZUcHEyYmc2RHJtMXdGZWhRVTZQMlpraXhFSlpYYllIU2syYmo2YkpYcGY2bGdGMnJwYlhScURUWmNGR3g0V29WVlluZjdTQzRlZU5iMk8zcDFHWU5QMWpQc0Rma2dCM2IxTXVVRnpKc0RQUXkwRGJpSFJoUzlrNXhWMFExYnBaZmRRY2RZV3pKNl9qQmZPZXhRRWpHWTN1N09mWGZpM2thY28yTkR6bXJud1dFMmRodEotbktJWElmaDl3eC1yM2N2dXc?hl=en-US&gl=US&ceid=US%3Aen
"List of flight cancellations at MSP airport on Weds, Nov. 12",https://news.google.com/read/CBMiwAJBVV95cUxQLTBDTTl4MnpjUjNMaHctUGNxbUhGOERaWnZPVUpnMUZXbDF2V0NXSlk1eUxDbjNnQ0RRQ3RDM2hmZTh5MGRWekRIR2dTOTZyZGZUU0prakVCYkNITTVLeGZQczBjTVFkT0EtSUg0QnFFNTYzTXhaZnBFaGZWTEQ0NHBsZWhlUjJPVWJwRWZhVTJXY1lCbmRLOFhIVjk3WEZBaFVST05TY2Ria3ZqUzl0ay13NkhRdTVDdTZkZDF3TzFWX3ZfSlZ1OXhackNtTXhpbGdnX1JId2NCMmJjZWtmWDJJQ2xCTEJTckZiUktSbkJXQk9UVUNiUzVacnRHU1E3eV91MDhuaTNmNTg5cWM1QlJ6N2dqYnZZU0RjT0wwek8xSVdJWUo5LTh0amRTS09wYXRfbE03ZzdvM2lMWjJUeQ?hl=en-US&gl=US&ceid=US%3Aen
Gov. Mills visits Lewiston to honor Maine veterans,https://news.google.com/read/CBMi7gJBVV95cUxPaHZLdV9XbmxUM2ZfQTl4QUJqSjdOXzIteklJYTN4VmJhZzRhYWJXVmxxeGhrX0hjTDVTNGVTQWZia0FNZmJZblk3V1BzZ0QwemVGLUQ5cGtZa3BtQ0dPOG1VTDBNRnI5RGN6ZXU0T0tacHhmQ281eVdTQVBEdjZGWFV0dm96WFZDTjlkRFktMHpBUmdEZHRrc3ZFU2RTbG11LXprMlZIeGpiWWpRSW9UZUowRWwyaWQ0NFBFOGNDcWRhamExWFhOdmdQbkFMay1mY19La19GZXRnRXRwaTFtZWNCQjNfSUdFY1pUVFNJaFhDQ2Nia24ydnZWQTdEYkNpUmVOX1lCakxvSjdLQ3Q3TnZFZ2tna2hEUnBNMHIweHF0a3gyNkRTYlVfZFhFd1R5eUpTbW9kN1FLTnFsVC03dE9YLXRsbGtiYzBYa3JfUEo1SFlfTGRlUkF2UlR3bDhqUEdFNWpULVdyZ1dWN2c?hl=en-US&gl=US&ceid=US%3Aen
"As Shutdown Nears End, Trump Still Confronts Soaring Health Costs",https://news.google.com/read/CBMi4ARBVV95cUxQRmdwV3lldlJ3dkRnbXdwOWFDcDI3eDlVSVo2MlF1NWJDclVaYzJEZi1NMGktYmxNVVRIYnZCTUhHWTN1Z1I5Yk13dzgteVF2aUpzSmM3WVJiNVFSVzR1OGZuREkyN2duLUt5dFJNVVBXWkNQTzJwbXdTU2RfOVpzbTVzd1lKVFNNUUJ1Ni1JVWdaaDZRdWxWWnp6VWo4WjVjb2ktYURQaFdpUlN2VFFKd0xNRllfOHFHdDk5NlVfbU9Gcll1ZjZsNzMybWhjUlBib1FzRW5ETUVaZEpBTERUWTFNQVQ5VVhMSWg0RTNwQjBhLUJJNGJrbFVFZlpuRWFIbXluSllhaTM2cHZkT09NWFdaRFp1bmV4MG9tcFpta0Ryb0FwSXFsZGlTMEZudDZTMURrUV9Ed3RrdVhCUE1mMnprampZRThaVWl5elZEU1d3QzUxWEY3aWFxN2wwOTF1aUh4WWlkdDJ3NzRDSnlhWEp1T2ZHWEFXTDJ3dm5IV3J1TmdhaFBHX1NDZDhNNnNiVHNLLVdFMUlVb0p4ekRYTVVfeGx1OVZBWFBmWEdMSVZuY0hpUmstTFN3Z2FiWkJtUTRyVTlyUDZES29paHJxNk1uNktKS0JYWExuT0JfT1lFdzNaV3hSOTd0UmxITUZFLXI2Y2ItWlg4STI0UVJxZDF5aVJhakhpYzdnN0pUd29feXg1dmJlSXZYc2p0aC0weTJNVEk3Wk50bmdnNXVCTTN2NzB5aVNROE9oLXB0d080ZFUyUWM0SjY0UTdBVlAxY3pKMm04b29FTzJhLXlqNw?hl=en-US&gl=US&ceid=US%3Aen
Community rallies to support TSA agents during federal shutdown,https://news.google.com/read/CBMirgJBVV95cUxNMkhRMXpCMW5iRGZJQ3pZaUhzSW56bEZDVXV6ZjM0aEY5MEpFTEVFRUdpZFJZV2xqdmRpWXFmZDNVa3NFYzFEMkhiZjYwaXpVb3NidXQzY2NHekdFLW13LU4yay1rNkNmRUlZRGxta01oa3p6RUtYcFY3WUtBMGhlS2xOSzZucnc3ZG1peXl6LW55S1lLNW13SEVtYW1VdFZEcElLM1p4LUZ3RXhEd1FDXzFMS1g1dlpxUWhHT19zbGlIVGI1cXBIR2JjUFBjT1pMS1BUcFBTUmNGTTJnUW45bFNSRHVXMEs3VHVjenVVMW5CRTBCal8yTmxjMmNPOHE1Y2V0enRUQkFaVkk2NEVEREVGbXluSUZxcXNMWW80ek1mNjZGSXJlOVIyeUJidw?hl=en-US&gl=US&ceid=US%3Aen
Group launches campaign to buy land planned for new Ramay Junior High,https://news.google.com/read/CBMi7wJBVV95cUxQaDd4VFZhNFFSU3RfUU54UUstWDdGbE5iN0J3YjV6TGo3MmRvSWhBRUlIUEVCQ0E5cEJyY2M5VVpndUFkLUNNS1FQdmVBTk40ejFycWdkaWFQNlJxNnRKWGJYMTdnS2lFRk5yVDBxNkpreHB3Yy0ydFFiTlVZNmtGa1FKYWRWdWthcGY4T29CZWQ3bFpVQlJzZW14Y0dLMnRwd0lEMTFtbWRxWVVsZHY3UUhaRHN1MlNUYnV5MjU4U05FUnhpUWNJeEtSMXlOb0Mxb2JhNjlCSFhyOWc4NXc1enhLbjZzem94Z0tXTERiNE5MT3gxNWpLMkJia1BaenMteXNaV2k0cXFjTjNXLXRBVkVraUpZMXNraktrckFfRlBoaEZPQnpmSWthYnduMlJsa09VaENQTGRSRWpINzdYV1FYcHJJdnljRXZjQjFqUi1ST2xGc0t5Y0hVdlRpSU5VcGszOFRkWnJKR1M3dV9N?hl=en-US&gl=US&ceid=US%3Aen
